art_id,token
0,"[('erp', 'SL')]"
0,"[('개발', 'NNG')]"
0,"[('유지', 'NNG'), ('보수', 'NNG')]"
0,"[('하', 'VV'), ('고', 'EC'), ('있', 'VX'), ('는데', 'EC')]"
0,"[('프로그램', 'NNG')]"
0,"[('오류', 'NNG')]"
0,"[('발생', 'NNG')]"
0,"[('시', 'NNG')]"
0,"[('어떻', 'VA'), ('게', 'EC')]"
0,"[('확인', 'NNG'), ('하', 'XSV'), ('시', 'EP'), ('고', 'EC')]"
0,"[('조치', 'NNG'), ('하', 'XSV'), ('시', 'EP'), ('나요', 'EF'), ('저', 'IC'), ('같', 'VA'), ('은', 'ETM')]"
0,"[('경우', 'NNG')]"
0,"[('우선', 'MAG')]"
0,"[('해당', 'NNG')]"
0,"[('프로그램', 'NNG')]"
0,"[('화면', 'NNG'), ('에서', 'JKB')]"
0,"[('그', 'MM')]"
0,"[('오류', 'NNG')]"
0,"[('행위', 'NNG'), ('를', 'JKO')]"
0,"[('해', 'VV+EC'), ('보', 'VX'), ('고', 'EC')]"
0,"[('sql', 'SL')]"
0,"[('프로파일러', 'NNG'), ('로', 'JKB')]"
0,"[('쿼리', 'NNP'), ('를', 'JKO')]"
0,"[('긁', 'VV'), ('어', 'EC'), ('와서', 'VV+EC')]"
0,"[('위', 'NNG'), ('에서부터', 'JKB')]"
0,"[('차근차근', 'MAG')]"
0,"[('실행', 'NNG'), ('해', 'XSV+EC'), ('보', 'VX'), ('면서', 'EC')]"
0,"[('오류', 'NNG'), ('를', 'JKO')]"
0,"[('찾', 'VV'), ('는데', 'EC')]"
0,"[('혹시', 'MAG')]"
0,"[('어떻', 'VA'), ('게들', 'EC')]"
0,"[('확인', 'NNG'), ('하', 'XSV'), ('시', 'EP'), ('나요', 'EC')]"
1,"[('오늘', 'NNG'), ('은', 'JX')]"
1,"[('2022', 'SN'), ('년', 'NNBC')]"
1,"[('6', 'SN'), ('월', 'NNBC'), ('부터', 'JX')]"
1,"[('진행', 'NNG'), ('하', 'XSV'), ('고', 'EC')]"
1,"[('있', 'VA'), ('는', 'ETM')]"
1,"[('프로젝트', 'NNG'), ('에', 'JKB')]"
1,"[('대해', 'VV+EC')]"
1,"[('짧', 'VA'), ('은', 'ETM')]"
1,"[('소식', 'NNG'), ('을', 'JKO')]"
1,"[('전', 'NNG'), ('하', 'XSV'), ('려', 'EC')]"
1,"[('합니다', 'VV+EC')]"
1,"[('모', 'MM'), ('기업', 'NNG')]"
1,"[('물류', 'NNP')]"
1,"[('시스템', 'NNG'), ('을', 'JKO')]"
1,"[('개발', 'NNG'), ('하', 'XSV'), ('고', 'EC')]"
1,"[('있', 'VA'), ('으며', 'EC')]"
1,"[('12', 'SN'), ('월', 'NNBC'), ('까지', 'JX')]"
1,"[('2', 'SN'), ('개', 'NNBC'), ('의', 'NNG')]"
1,"[('제품', 'NNG'), ('을', 'JKO')]"
1,"[('배포', 'NNG')]"
1,"[('목표', 'NNG'), ('로', 'JKB')]"
1,"[('하', 'VV'), ('고', 'EC')]"
1,"[('있', 'VA'), ('습니다', 'EF')]"
1,"[('그런데', 'MAJ')]"
1,"[('매일', 'NNG')]"
1,"[('진행', 'NNG'), ('하', 'XSV'), ('고', 'EC')]"
1,"[('있', 'VA'), ('는', 'ETM')]"
1,"[('프로젝트', 'NNG')]"
1,"[('안', 'NNG'), ('에', 'JKB')]"
1,"[('이상한', 'NNP')]"
1,"[('소식', 'NNG'), ('을', 'JKO')]"
1,"[('하나', 'NR')]"
1,"[('전해', 'VV+EC')]"
1,"[('드릴께요', 'VV+EF')]"
1,"[('저', 'NP'), ('는', 'JX')]"
1,"[('협력', 'NNG'), ('사의', 'NNG')]"
1,"[('한', 'MM')]"
1,"[('팀', 'NNG'), ('중', 'NNB')]"
1,"[('팀원', 'NNG'), ('으로', 'JKB')]"
1,"[('일', 'NNG')]"
1,"[('하', 'VV'), ('고', 'EC')]"
1,"[('있', 'VA'), ('으며', 'EC')]"
1,"[('밀접', 'NNG'), ('하', 'XSV'), ('게', 'EC')]"
1,"[('진행', 'NNG'), ('하', 'XSV'), ('고', 'EC')]"
1,"[('있', 'VA'), ('는', 'ETM')]"
1,"[('2', 'SN'), ('개', 'NNBC'), ('의', 'NNG')]"
1,"[('협력', 'NNG'), ('사와', 'NNG')]"
1,"[('프로젝트', 'NNG')]"
1,"[('고객', 'NNG'), ('사와', 'NNG')]"
1,"[('같', 'VA'), ('은', 'ETM')]"
1,"[('층', 'NNG'), ('에서', 'JKB')]"
1,"[('프로젝트', 'NNG'), ('를', 'JKO')]"
1,"[('수행', 'NNG'), ('하', 'XSV'), ('고', 'EC')]"
1,"[('있', 'VA'), ('습니다', 'EF')]"
1,"[('지금', 'NNG')]"
1,"[('여기', 'NP'), ('에', 'JKB')]"
1,"[('연류', 'NNG')]"
1,"[('되', 'VV'), ('어', 'EC')]"
1,"[('있', 'VA'), ('지', 'EC')]"
1,"[('않', 'VX'), ('는', 'ETM')]"
1,"[('사람', 'NNG'), ('이', 'JKS')]"
1,"[('이', 'MM')]"
1,"[('내용', 'NNG'), ('에', 'JKB')]"
1,"[('대해서', 'VV+EC')]"
1,"[('어떻', 'VA'), ('게', 'EC')]"
1,"[('생각', 'NNG'), ('하', 'XSV'), ('는지', 'EC')]"
1,"[('너무', 'MAG')]"
1,"[('궁금', 'XR'), ('합니다', 'XSA+EC')]"
1,"[('어떤', 'MM')]"
1,"[('내용', 'NNG'), ('이', 'VCP'), ('냐면', 'EC')]"
1,"[('어떤', 'MM')]"
1,"[('한', 'MM')]"
1,"[('사람', 'NNG'), ('의', 'NNG')]"
1,"[('얘기', 'NNG'), ('입니다', 'VCP+EC')]"
1,"[('여기', 'NP'), ('는', 'JX')]"
1,"[('각', 'MM')]"
1,"[('팀', 'NNG'), ('에', 'JKB')]"
1,"[('프로젝트', 'NNG')]"
1,"[('리더', 'NNG'), ('PL', 'SL'), ('가', 'JKS')]"
1,"[('있', 'VA'), ('습니다', 'EF')]"
1,"[('흔히', 'MAG')]"
1,"[('팀장', 'NNG'), ('이', 'VCP'), ('라고', 'EC')]"
1,"[('하', 'VV'), ('죠', 'EF')]"
1,"[('저희', 'NP')]"
1,"[('PL', 'SL'), ('은', 'JX')]"
1,"[('약', 'NNG')]"
1,"[('38', 'SN'), ('년', 'NNBC')]"
1,"[('경력', 'NNG'), ('의', 'NNG')]"
1,"[('5', 'SN'), ('개', 'NNBC'), ('의', 'NNG')]"
1,"[('사업', 'NNG'), ('을', 'JKO')]"
1,"[('하', 'VV'), ('셨', 'EP+EP'), ('다고', 'EC')]"
1,"[('하', 'VV'), ('며', 'EC')]"
1,"[('삼성', 'NNP')]"
1,"[('한전', 'NNP')]"
1,"[('등', 'NNG')]"
1,"[('대', 'XPN'), ('기업', 'NNG'), ('들', 'XSN'), ('과', 'JKB')]"
1,"[('프로젝트', 'NNG')]"
1,"[('업력', 'NNG'), ('도', 'JX')]"
1,"[('있', 'VA'), ('으신', 'EC')]"
1,"[('분', 'NNB'), ('입니다', 'VCP+EC')]"
1,"[('그런데', 'MAJ')]"
1,"[('전날', 'NNG')]"
1,"[('술', 'NNG'), ('을', 'JKO')]"
1,"[('한잔', 'NNG')]"
1,"[('하', 'VV'), ('셨', 'EP+EP'), ('다며', 'EC')]"
1,"[('오전', 'NNG'), ('에', 'JKB')]"
1,"[('매점', 'NNG')]"
1,"[('같', 'VA'), ('은', 'ETM')]"
1,"[('곳', 'NNG'), ('에', 'JKB')]"
1,"[('가', 'VV'), ('셔서', 'EP+EC')]"
1,"[('라면', 'NNG'), ('을', 'JKO')]"
1,"[('드', 'VV'), ('시', 'EP'), ('는가', 'EC'), ('하', 'VV'), ('면', 'EC')]"
1,"[('VUE', 'SL'), ('라는', 'VCP+ETM')]"
1,"[('기술', 'NNG'), ('을', 'JKO')]"
1,"[('사용', 'NNG'), ('하', 'XSV'), ('고', 'EC')]"
1,"[('있', 'VA'), ('는데', 'EC')]"
1,"[('38', 'SN'), ('년', 'NNBC')]"
1,"[('경력', 'NNG'), ('이', 'VCP'), ('신데도', 'EP+EC')]"
1,"[('전혀', 'MAG')]"
1,"[('알', 'VV'), ('지', 'EC')]"
1,"[('못', 'MAG'), ('하', 'VV'), ('고', 'EC')]"
1,"[('제', 'NP'), ('가', 'JKS')]"
1,"[('만들', 'VV'), ('어', 'EC'), ('놓', 'VX'), ('은', 'ETM')]"
1,"[('소스', 'NNG'), ('를', 'JKO')]"
1,"[('보', 'VV'), ('면서', 'EC')]"
1,"[('공부', 'NNG'), ('를', 'JKO')]"
1,"[('하', 'VV'), ('고', 'EC')]"
1,"[('계십니다', 'VV+EC')]"
1,"[('심지어', 'MAG')]"
1,"[('코드', 'NNG'), ('를', 'JKO')]"
1,"[('합치', 'VV'), ('는', 'ETM')]"
1,"[('Git', 'SL'), ('이', 'VCP'), ('라는', 'ETM')]"
1,"[('기술', 'NNG'), ('을', 'JKO')]"
1,"[('쓰', 'VV'), ('고', 'EC')]"
1,"[('있', 'VA'), ('는데', 'EC')]"
1,"[('본인', 'NNG'), ('에', 'JKB')]"
1,"[('해야', 'VV+EC')]"
1,"[('될', 'VV+ETM')]"
1,"[('작업', 'NNG'), ('을', 'JKO')]"
1,"[('전혀', 'MAG')]"
1,"[('하', 'VV'), ('지', 'EC')]"
1,"[('않', 'VV'), ('고', 'EC')]"
1,"[('저', 'NP'), ('에게', 'JKB')]"
1,"[('다', 'MAG')]"
1,"[('미루', 'VV'), ('고', 'EC')]"
1,"[('문제', 'NNG'), ('가', 'JKS')]"
1,"[('생기', 'VV'), ('면', 'EC')]"
1,"[('저', 'NP'), ('에게', 'JKB')]"
1,"[('다', 'MAG')]"
1,"[('덮어씌우', 'VV'), ('는', 'ETM')]"
1,"[('전략', 'NNG'), ('을', 'JKO')]"
1,"[('쓰', 'VV'), ('고', 'EC')]"
1,"[('계십니다', 'VV+EC')]"
1,"[('흔히', 'MAG')]"
1,"[('입', 'NNG'), ('코딩', 'NNG'), ('이', 'VCP'), ('라고', 'EC')]"
1,"[('말', 'NNG'), ('로', 'JKB'), ('만', 'JX')]"
1,"[('문제', 'NNG'), ('를', 'JKO')]"
1,"[('해결', 'NNG'), ('하', 'XSV'), ('려고', 'EC')]"
1,"[('하', 'VV'), ('고', 'EC')]"
1,"[('자세', 'XR'), ('한', 'XSA+ETM')]"
1,"[('기술', 'NNG'), ('에', 'JKB')]"
1,"[('대해선', 'VV+EC+JX')]"
1,"[('전혀', 'MAG')]"
1,"[('모르', 'VV'), ('고', 'EC')]"
1,"[('분', 'NNB'), ('입니다', 'VCP+EC')]"
1,"[('그런데', 'MAJ')]"
1,"[('정말', 'MAG')]"
1,"[('큰', 'VA+ETM')]"
1,"[('문제', 'NNG'), ('는', 'JX')]"
1,"[('본인', 'NNG'), ('이', 'JKS')]"
1,"[('할', 'VV+ETM'), ('줄', 'NNB')]"
1,"[('모르', 'VV'), ('는', 'ETM')]"
1,"[('기술', 'NNG'), ('을', 'JKO')]"
1,"[('절대로', 'MAG')]"
1,"[('못', 'MAG'), ('한다고', 'VV+EC')]"
1,"[('얘기', 'NNG'), ('하', 'XSV'), ('지', 'EC')]"
1,"[('않', 'VX'), ('는', 'ETM')]"
1,"[('것', 'NNB'), ('입니다', 'VCP+EC')]"
1,"[('엄청난', 'VA+ETM')]"
1,"[('고집', 'NNG'), ('이', 'VCP'), ('죠', 'EF')]"
1,"[('심지어', 'MAG')]"
1,"[('다른', 'MM')]"
1,"[('협', 'NNG'), ('력사', 'NNG'), ('에서', 'JKB')]"
1,"[('저', 'NP'), ('를', 'JKO')]"
1,"[('통해', 'VV+EC')]"
1,"[('저', 'NP')]"
1,"[('PL', 'SL')]"
1,"[('왜', 'MAG')]"
1,"[('저려', 'NNG'), ('냐', 'VCP+EC')]"
1,"[('저런', 'MM'), ('것', 'NNB'), ('도', 'JX')]"
1,"[('모르', 'VV'), ('세요', 'EP+EF')]"
1,"[('라고', 'JKQ')]"
1,"[('저희', 'NP')]"
1,"[('팀원', 'NNG'), ('들', 'XSN'), ('한테', 'JKB')]"
1,"[('와서', 'VV+EC')]"
1,"[('돌려', 'VV+EC'), ('까', 'VV'), ('기', 'ETN'), ('를', 'JKO')]"
1,"[('시전', 'NNG'), ('합니다', 'XSV+EC')]"
1,"[('같', 'VA'), ('은', 'ETM')]"
1,"[('팀', 'NNG'), ('에', 'JKB')]"
1,"[('있', 'VA'), ('다는', 'ETM')]"
1,"[('게', 'NNG')]"
1,"[('너무', 'MAG')]"
1,"[('창피', 'NNG'), ('할', 'XSV+ETM')]"
1,"[('정도', 'NNG'), ('입니다', 'VCP+EC')]"
1,"[('프로젝트', 'NNG'), ('를', 'JKO')]"
1,"[('진행', 'NNG'), ('하', 'XSV'), ('면서', 'EC')]"
1,"[('코드', 'NNG'), ('에', 'JKB')]"
1,"[('대해', 'VV+EC')]"
1,"[('리딩', 'NNG'), ('을', 'JKO')]"
1,"[('하', 'VV'), ('고', 'EC')]"
1,"[('작업', 'NNG'), ('할', 'XSV+ETM')]"
1,"[('내용', 'NNG'), ('을', 'JKO')]"
1,"[('정리', 'NNG'), ('하', 'XSV'), ('고', 'EC')]"
1,"[('코드', 'NNG'), ('에', 'JKB')]"
1,"[('대한', 'VV+ETM')]"
1,"[('이해', 'NNG'), ('를', 'JKO')]"
1,"[('통해', 'VV+EC')]"
1,"[('알맞', 'VA'), ('게', 'EC')]"
1,"[('구성', 'NNG'), ('할', 'XSV+ETM')]"
1,"[('필요', 'NNG'), ('가', 'JKS')]"
1,"[('있', 'VA'), ('는데', 'EC')]"
1,"[('전혀', 'MAG')]"
1,"[('하', 'VV'), ('지', 'EC')]"
1,"[('못', 'MAG'), ('하', 'VV'), ('고', 'EC')]"
1,"[('주어진', 'VV+ETM')]"
1,"[('일', 'NR'), ('정의', 'NNG')]"
1,"[('시간', 'NNG')]"
1,"[('때우', 'VV'), ('기', 'ETN')]"
1,"[('위해', 'VV+EC')]"
1,"[('말', 'NNG'), ('로', 'JKB'), ('만', 'JX')]"
1,"[('하', 'VV'), ('는', 'ETM')]"
1,"[('입', 'NNG'), ('코딩', 'NNG'), ('을', 'JKO')]"
1,"[('하', 'VV'), ('십니다', 'EP+EC')]"
1,"[('전형', 'NNG'), ('적', 'XSN'), ('인', 'VCP+ETM')]"
1,"[('그룹', 'NNG'), ('에서', 'JKB')]"
1,"[('악질', 'NNG'), ('이', 'VCP'), ('죠', 'EF')]"
1,"[('참', 'NNG')]"
1,"[('안타깝', 'VA'), ('게', 'EC'), ('도', 'JX')]"
1,"[('그', 'MM')]"
1,"[('분의', 'NNG')]"
1,"[('나이', 'NNG'), ('는', 'JX')]"
1,"[('약', 'NNG')]"
1,"[('60', 'SN'), ('세', 'NNBC'), ('가', 'JKS')]"
1,"[('된', 'VV+ETM')]"
1,"[('어르신', 'NNG'), ('입니다', 'VCP+EC')]"
1,"[('한편', 'NNG'), ('으로', 'JKB'), ('는', 'JX')]"
1,"[('좀', 'MAG')]"
1,"[('불쌍', 'XR'), ('합니다', 'XSA+EC')]"
1,"[('저', 'NP')]"
1,"[('나이', 'NNG')]"
1,"[('먹', 'VV'), ('고', 'EC')]"
1,"[('왜', 'MAG')]"
1,"[('저러', 'VV'), ('시', 'EP'), ('는지', 'EC')]"
1,"[('현재', 'NNG')]"
1,"[('나라', 'NNG'), ('꼴', 'NNG'), ('을', 'JKO')]"
1,"[('보', 'VV'), ('면', 'EC')]"
1,"[('온', 'VV+ETM')]"
1,"[('국민', 'NNG'), ('이', 'JKS')]"
1,"[('당신', 'NP')]"
1,"[('바보', 'NNG'), ('라고', 'VCP+EC')]"
1,"[('얘기', 'NNG'), ('하', 'XSV'), ('는', 'ETM')]"
1,"[('데', 'NNB')]"
1,"[('본인', 'NNG'), ('만', 'JX')]"
1,"[('모르', 'VV'), ('는', 'ETM')]"
1,"[('것', 'NNB'), ('처럼', 'JKB')]"
1,"[('같이', 'MAG')]"
1,"[('일', 'NNG')]"
1,"[('하', 'VV'), ('는', 'ETM')]"
1,"[('층', 'NNG'), ('에', 'JKB')]"
1,"[('대두', 'NNG'), ('분의', 'NNG')]"
1,"[('사람', 'NNG'), ('들', 'XSN'), ('이', 'JKS')]"
1,"[('저', 'NP'), ('에게', 'JKB')]"
1,"[('하소연', 'NNP'), ('을', 'JKO')]"
1,"[('합니다', 'VV+EC')]"
1,"[('협업', 'NNG'), ('이', 'JKS')]"
1,"[('되', 'VV'), ('지', 'EC')]"
1,"[('않', 'VV'), ('는다고', 'EC')]"
1,"[('협업', 'NNG')]"
1,"[('업무', 'NNG'), ('를', 'JKO')]"
1,"[('PL', 'SL')]"
1,"[('통해서', 'VV+EC')]"
1,"[('업무', 'NNG'), ('가', 'JKS')]"
1,"[('전파', 'NNG'), ('되', 'XSV'), ('어야', 'EC')]"
1,"[('하', 'VV'), ('는데', 'EC')]"
1,"[('대부분', 'NNG')]"
1,"[('저', 'NP'), ('를', 'JKO')]"
1,"[('통해', 'VV+EC')]"
1,"[('기술', 'NNG')]"
1,"[('협의', 'NNG'), ('가', 'JKS')]"
1,"[('되', 'VV'), ('고', 'EC')]"
1,"[('저의', 'NNG')]"
1,"[('팀원', 'NNG'), ('에게', 'JKB')]"
1,"[('제', 'NP'), ('가', 'JKS')]"
1,"[('공유', 'NNG'), ('를', 'JKO')]"
1,"[('합니다', 'VV+EC')]"
1,"[('커피', 'NNG')]"
1,"[('마실', 'NNG')]"
1,"[('때', 'NNG')]"
1,"[('하', 'VV'), ('는', 'ETM')]"
1,"[('얘기', 'NNG'), ('를', 'JKO')]"
1,"[('들', 'VV'), ('어', 'EC'), ('보', 'VX'), ('면', 'EC')]"
1,"[('도박', 'NNG'), ('사이트', 'NNG'), ('를', 'JKO')]"
1,"[('만들', 'VV'), ('었', 'EP'), ('다니', 'EC')]"
1,"[('자동', 'NNG'), ('매매', 'NNG')]"
1,"[('사이트', 'NNG'), ('를', 'JKO')]"
1,"[('만들', 'VV'), ('었', 'EP'), ('다니', 'EC')]"
1,"[('등등', 'NNB')]"
1,"[('지금', 'NNG')]"
1,"[('프로젝트', 'NNG')]"
1,"[('수행', 'NNG'), ('하', 'XSV'), ('는', 'ETM')]"
1,"[('걸', 'NP+JKO')]"
1,"[('보', 'VV'), ('면', 'EC')]"
1,"[('절대', 'NNG')]"
1,"[('만들', 'VV+ETM')]"
1,"[('수', 'NNG')]"
1,"[('있', 'VA'), ('는', 'ETM')]"
1,"[('실력', 'NNG'), ('도', 'JX')]"
1,"[('안', 'MAG'), ('되', 'VV'), ('지만', 'EC')]"
1,"[('저런', 'MM')]"
1,"[('비', 'NNG')]"
1,"[('윤리', 'NNG'), ('적', 'XSN'), ('인', 'VCP+ETM')]"
1,"[('사업', 'NNG'), ('을', 'JKO')]"
1,"[('프로젝트', 'NNG')]"
1,"[('개발', 'NNG')]"
1,"[('경력', 'NNG')]"
1,"[('10', 'SN'), ('년', 'NNBC')]"
1,"[('이상', 'NNG')]"
1,"[('된', 'VV+ETM')]"
1,"[('여러', 'MM')]"
1,"[('사람', 'NNG'), ('들', 'XSN')]"
1,"[('앞', 'NNG'), ('에서', 'JKB')]"
1,"[('당당', 'XR'), ('하', 'XSA'), ('게', 'EC')]"
1,"[('자랑', 'NNG'), ('하', 'XSV'), ('는', 'ETM')]"
1,"[('것', 'NP'), ('도', 'JX')]"
1,"[('정말', 'MAG')]"
1,"[('이해', 'NNG'), ('가', 'JKS')]"
1,"[('안', 'MAG'), ('됩니다', 'VV+EF')]"
1,"[('이', 'MM')]"
1,"[('프로젝트', 'NNG'), ('는', 'JX')]"
1,"[('5', 'SN'), ('월', 'NNBC')]"
1,"[('말', 'NNG'), ('부터', 'JX')]"
1,"[('진행', 'NNG'), ('되', 'XSV'), ('어', 'EC')]"
1,"[('약', 'NNG')]"
1,"[('2', 'SN'), ('달', 'NNBC'), ('기간', 'NNG')]"
1,"[('동안', 'NNG')]"
1,"[('이제', 'MAG')]"
1,"[('대부분', 'NNG'), ('의', 'NNG')]"
1,"[('사람', 'NNG'), ('들', 'XSN'), ('이', 'JKS')]"
1,"[('이', 'MM')]"
1,"[('상황', 'NNG'), ('을', 'JKO')]"
1,"[('아', 'VV'), ('는', 'ETM')]"
1,"[('것', 'NNB')]"
1,"[('같', 'VA'), ('습니다', 'EF')]"
1,"[('이', 'MM')]"
1,"[('분', 'NNG')]"
1,"[('어떻', 'VA'), ('게', 'EC')]"
1,"[('될지', 'VV+EC')]"
1,"[('궁금', 'XR'), ('합니다', 'XSA+EC')]"
1,"[('그리고', 'MAJ')]"
1,"[('전', 'NNG')]"
1,"[('또', 'MAG')]"
1,"[('다짐', 'NNG'), ('합니다', 'XSA+EC')]"
1,"[('나', 'NP'), ('는', 'JX')]"
1,"[('꼭', 'MAG')]"
1,"[('늙', 'VV'), ('어서', 'EC')]"
1,"[('저런', 'MM')]"
1,"[('SW', 'SL')]"
1,"[('엔지니어', 'NNG'), ('가', 'JKS')]"
1,"[('되', 'VV'), ('지', 'EC')]"
1,"[('말', 'VV'), ('아야지', 'EC')]"
2,"[('안녕', 'NNG'), ('하', 'XSV'), ('세요', 'EP+EF')]"
2,"[('저', 'NP'), ('는', 'JX')]"
2,"[('비', 'XPN'), ('서울', 'NNP'), ('권', 'XSN')]"
2,"[('대학', 'NNG'), ('의', 'NNG')]"
2,"[('컴퓨터', 'NNG'), ('공학', 'NNG'), ('과', 'JC')]"
2,"[('2학년', 'NNP')]"
2,"[('수료', 'NNG')]"
2,"[('후', 'NNG'), ('에', 'JKB')]"
2,"[('작년', 'NNG'), ('에', 'JKB')]"
2,"[('군대', 'NNG'), ('를', 'JKO')]"
2,"[('갔었', 'VV+EP'), ('습니다', 'EF'), ('최근', 'NNG'), ('에', 'JKB')]"
2,"[('전역', 'NNG')]"
2,"[('전', 'NNG')]"
2,"[('휴가', 'NNG'), ('를', 'JKO')]"
2,"[('나온', 'VV+ETM')]"
2,"[('상태', 'NNG'), ('고', 'VCP+EC')]"
2,"[('2', 'SN'), ('학기', 'NNG'), ('에', 'JKB')]"
2,"[('엇', 'IC'), ('학기', 'NNG')]"
