art_id,token,type
0,erp,SL
0,프로그램,NNG
0,오류,NNG
0,장애,NNG
0,조치,NNG
0,방법,NNG
1,이런,MM
1,PL,SL
1,있,VA
1,나요,EC
2,어떻,VA
2,게,EC
2,공부,NNG
2,하,XSV
2,면,EC
2,좋,VA
2,을,ETM
2,지,NNP
2,여쭤,VV+EC
2,보,VX
2,고,EC
2,싶,VX
2,습니다,EF
3,개인,NNG
3,적,XSN
3,으로,JKB
3,생각,NNG
3,해,XSV+EC
3,본,VV+ETM
3,서울,NNP
3,vs,SL
3,지방,NNG
3,취업,NNG
3,장단점,NNG
4,이,MM
4,정도,NNG
4,퀄리티,NNP
4,의,JKB
4,영상,NNG
4,은,JX
4,반드시,MAG
4,봐야,VV+EC
4,합니다,VV+EC
5,기술,NNG
5,면접,NNG
5,관련,NNG
5,해서,XSA+EC
5,질문,NNG
5,이,JKS
5,있,VA
5,습니다,EF
6,반,NNG
6,프리,NNG
6,계약,NNG
6,시,NNG
6,90,SN
6,만,NR
6,원,NNBC
6,vs,SL
6,200,SN
6,만,NR
6,원,NNBC
6,차이,NNG
6,가,JKS
6,뭘까요,NP+VCP+EF
7,si,SL
7,프리랜서,NNG
7,제안,NNG
7,앞,NNG
7,으로,JKB
7,진로,NNG
8,어떻,VA
8,게,EC
8,공부,NNG
8,를,JKO
8,하,VV
8,면,EC
8,좋,VA
8,을까요,EC
9,프리랜서,NNG
9,임금체불,NNP
9,지급명령,NNP
9,신청,NNG
10,c,SL
10,언어,NNG
10,를,JKO
10,다,MAG
10,끝낸,VV+ETM
10,컴공과,NNP
10,신입,NNG
10,생,XSN
10,인데,VCP+EC
10,졸업,NNG
10,하,XSV
10,자마자,EC
10,카카오,NNG
10,취업,NNG
10,목표,NNG
10,입니다,VCP+EC
10,당장,NNG
10,무엇,NP
10,을,JKO
10,할까요,VV+EC
11,편입,NNG
11,vs,SL
11,재수,NNG
11,도와,VV+EC
11,주,VX
11,세요,EP+EF
12,개발,NNG
12,을,JKO
12,잘,MAG
12,모르,VV
12,는,ETM
12,사장,NNG
12,님,XSN
12,이,JKS
12,무리,NNG
12,한,XSA+ETM
12,기간,NNG
12,으로,JKB
12,프로젝트,NNG
12,받,VV
12,아,EC
12,오,VV
12,는,ETM
