art_id,token,type
0,erp,SL
0,프로그램,NNG
0,오류,NNG
0,장애조치,comp_Nouns2
0,방법,NNG
1,pl,SL
2,공부,NNG
3,개인,NNG
3,생각,NNG
3,서울,NNP
3,vs,SL
3,지방,NNG
3,취업,NNG
3,장단점,NNG
4,퀄리티,NNP
4,영상,NNG
5,기술면접,comp_Nouns2
6,반프리,comp_Nouns2
6,계약시,comp_Nouns2
6,90만원,comp_SN_NR_NNBC
6,vs,SL
6,200만원,comp_SN_NR_NNBC
6,차이,NNG
7,si,SL
7,프리랜서,NNG
7,제안,NNG
7,진로,NNG
8,공부,NNG
9,프리랜서,NNG
9,임금체불,NNP
9,지급명령신청,comp_Nouns2
10,언어,NNG
10,컴공과,NNP
10,신입,NNG
10,졸업,NNG
10,카카오취업,comp_Nouns2
10,목표,NNG
10,당장,NNG
11,편입,NNG
11,vs,SL
11,재수,NNG
12,개발,NNG
12,사장,NNG
12,무리,NNG
12,기간,NNG
12,프로젝트,NNG
12,회사,NNG
13,오픈소스,comp_Nouns2
13,코드,NNG
13,분석,NNG
14,발견,NNG
14,영상,NNG
14,공유,NNG
15,신입,NNG
15,연봉,NNG
16,si,SL
16,서비스,NNG
16,회사,NNG
16,이직,NNG
16,si,SL
16,경력,NNG
17,노트북,NNG
17,자동엔터,comp_Nouns2
18,자바스크립트,comp_Nouns2
19,it,SL
19,분야,NNG
19,취직,NNG
19,준비,NNG
20,리액트,NNP
20,공식,NNG
20,문서,NNG
20,장난,NNG
21,보증금,NNG
21,사기,NNG
21,예방,NNG
21,솔루션,NNP
21,저번,NNG
21,이후,NNG
21,피드백,NNG
21,반영,NNG
21,업데이트,NNG
22,예술,NNG
22,직종,NNG
23,si,SL
23,업계,NNG
23,평가,NNG
23,개개인,NNG
24,react,SL
24,로컬스트리지,NNP
24,todolist,SL
24,연습,NNG
24,에러,NNG
25,베트남,NNP
26,레노버,NNP
26,블릿,NNP
26,맥북,NNP
26,미러링,NNP
26,연결,NNG
27,기획안,comp_Nouns2
27,보조,NNG
28,서류,NNG
28,제출,NNG
28,조금,NNG
28,실수,NNG
28,지원취소,comp_Nouns2
28,재지원,NNP
29,sourcing,SL
29,specialist,SL
30,신입의,comp_Nouns2
30,회사선택,comp_Nouns2
