art_id,token,type
0,erp,SL
0,프로그램,NNG
0,오류,NNG
0,장애조치,comp_NNG_NNP
0,방법,NNG
1,pl,SL
3,서울,NNP
3,vs,SL
3,지방,NNG
3,취업,NNG
3,장단점,NNG
4,정도,NNG
5,기술면접,comp_NNG_NNP
6,반프리,comp_NNG_NNP
6,계약시,comp_NNG_NNP
6,vs,SL
7,si,SL
7,프리랜서,NNG
7,제안,NNG
7,진로,NNG
9,프리랜서,NNG
9,임금체불,comp_NNG_NNP
9,지급명령,comp_NNG_NNP
9,명령신청,comp_NNG_NNP
10,언어,NNG
10,컴공과,comp_NNG_NNP
10,카카오취업,comp_NNG_NNP
10,당장,NNG
11,편입,NNG
11,vs,SL
11,재수,NNG
12,프로젝트,NNG
13,오픈소스,comp_NNG_NNP
13,코드분석,comp_NNG_NNP
14,영상,NNG
15,신입,NNG
15,연봉,NNG
16,서비스회사,comp_NNG_NNP
16,경력,NNG
17,노트북,NNG
17,자동엔터,comp_NNG_NNP
18,자바스크립트,comp_NNG_NNP
19,분야,NNG
19,취직준비,comp_NNG_NNP
20,리액트,comp_NNG_NNP
20,공식,NNG
21,보증금,NNG
21,사기,NNG
21,예방,NNG
21,솔루션,NNP
21,집스캔,comp_NNG_NNP
21,저번,NNG
21,이후,NNG
21,피드백,NNG
22,업종,NNG
23,si,SL
24,react,SL
24,로컬스트리,comp_NNG_NNP
24,스트리지로,comp_NNG_NNP
24,todolist,SL
26,레노버,NNP
26,테블릿,comp_NNG_NNP
26,맥북,NNP
26,연결,NNG
27,기획안,comp_NNG_NNP
28,서류,NNG
28,제출,NNG
28,조금,NNG
28,지원취소,comp_NNG_NNP
28,지원,NNG
29,sourcing,SL
29,specialist,SL
30,신입의,comp_NNG_NNP
30,회사선택,comp_NNG_NNP
31,직사유,comp_NNG_NNP
32,언어,NNG
33,국비,NNG
33,수료후,comp_NNG_NNP
33,동안,NNG
33,개인,NNG
33,프로젝트,NNG
34,비전공자,comp_NNG_NNP
34,개발자,NNG
34,커리어,NNP
34,관련,NNG
35,삼성전자,NNP
35,vs,SL
35,지마켓,comp_NNG_NNP
35,마켓글로벌,comp_NNG_NNP
36,국비,NNG
36,초급개발자,comp_NNG_NNP
37,crud,SL
37,기능,NNG
