word1,word2,freq
개발자,신입,142
개발자,차,76
직,차,70
가요,분,61
취준,준생,55
국비,학원,51
프론트엔드,신입,45
개발자,엔드,44
개발자,프론트엔드,42
관련,질문,42
신입,차,40
직,고민,38
국비,커리큘럼,37
개발자,질문,34
컴공,학년,34
개발자,직,33
고민,차,33
개발자,고민,33
연봉,차,32
개발자,취업,32
신입,회사,32
정보처리,처리기사,31
진로,고민,31
신입,고민,30
신입,엔드,30
연봉,신입,28
개발자,웹,27
개발자,가요,27
직,직준비,26
국비,비전공자,26
웹,개발,26
후,직,26
국비,가요,25
추천,책,25
국비지원,커리큘럼,25
프론트엔드,엔드,24
개발자,조언,24
학원,국비지원,24
추천,노트북,23
수료,후,23
조언,직,22
질문,신입,22
퇴사,후,22
신입,취업,22
개발자,vs,22
카라,카라쿠,22
부트캠프,vs,21
조언,차,21
정도,신입,21
개발자,연봉,21
비전공자,국비지원,20
개발자,전공,20
개발자,진로,19
직고민,직,19
개발자,관련,19
비전공자,조언,19
때,프로젝트,19
관련,개발,19
정도,차,19
국비,엔드,18
국비학원,커리큘럼,18
조언,관련,18
프론트엔드,포트폴리오,18
학년,대학교,18
신입,포트폴리오,18
가요,신입,18
SI,신입,17
개발자,때,17
정도,보통,17
프로젝트,개인,17
가요,회사,17
개발자,비전공자,17
조언,공부,17
조언,신입,17
SI,차,17
신입,스타트업,17
웹,엔드,16
학원,커리큘럼,16
지원학원,국비지원,16
연봉,직,16
프리,vs,16
가요,요즘,16
가요,엔드,16
직,회사,16
프론트,엔드,16
선택,회사,16
가요,때,15
웹,관련,15
관련,취업,15
가요,프로젝트,15
입사,신입,15
후,회사,15
차,경력,15
쿠배,카라쿠,15
개발,앱,15
쿠배,카라,15
신입,때,15
질문,공부,15
프론트엔드,취업,15
국비,과정,15
가요,개발,15
vs,엔드,15
비전공자,취업,15
신입,면접,15
신입,vs,15
기업,vs,15
자바,엔드,15
방향,공부,14
차,엔드,14
산업기사,정보처리,14
vs,취업,14
비전공자,커리큘럼,14
고민,취업,14
개발자,요즘,14
국비,고민,14
고민,엔드,14
정보처리,처리산업,14
가요,국비지원,14
개발,공부,14
가요,원래,14
퇴사,차,14
질문,면접,14
자바,공부,14
국비,질문,14
때,보통,13
조언,고민,13
공부,엔드,13
개발자,회사,13
개발,고민,13
조언,취업,13
vs,국비지원,13
회사,고민,13
프론트엔드,질문,13
정규직,vs,13
관련,포트폴리오,13
SI,회사,13
개발자,공부,13
네이티브,리액트,13
산업기사,처리산업,13
직,때,13
엔드,포트폴리오,13
비전공자,국비학원,13
국비,수료,13
개발자의,차,13
준비,취업,13
취업,엔드,13
국비,후,13
개발자,이력서,12
프리,차,12
개발자,추천,12
개발자의,고민,12
수,커리큘럼,12
국비,전공,12
강의,추천,12
웹개발자,차,12
국비,관련,12
국비,교육,12
입사,후,12
개발자,안드로이드,12
이력서,신입,12
국비,프로젝트,12
개발자,수,12
질문,때,12
관련,직,12
개발,차,12
비전공자,학원,12
프리랜서,질문,12
조언,학년,12
개발자,포트폴리오,12
전공,신입,12
관련,프로젝트,12
조언,프론트엔드,12
직,경력,12
웹,차,12
전공,취업,12
프로그래밍,언어,12
피드백,포트폴리오,12
면접,회사,12
개발자,주니어,12
가요,프론트엔드,11
SI,직,11
기업,신입,11
국비,분,11
부트캠프,국비지원,11
프리랜서,차,11
비전공자,vs,11
가요,커리큘럼,11
질문,프로젝트,11
수,알,11
조언,취준,11
정규직,프리랜서,11
웹,사이트,11
연봉협상,차,11
조언,포트폴리오,11
국비,취업,11
질문,취업,11
설문조사,관련,11
비전공자,관련,11
퇴사,고민,11
국비,vs,11
회사,프로젝트,11
때,회사,11
알고리즘,공부,11
국비학원,vs,11
국비,프론트엔드,11
후,신입,11
프로,맥북,11
알고리즘,자료구조,11
vs,스타트업,11
질문,국비지원,10
키보드,추천,10
보통,차,10
조언,엔드,10
신입,프로젝트,10
개발,vs,10
강의,스프링,10
프론트엔드,공부,10
질문,포트폴리오,10
관련,엔드,10
가요,부트캠프,10
관련,신입,10
국비,조언,10
가요,학원,10
계약,프리랜서,10
솔루션,회사,10
개발자의,신입,10
신입,공부,10
가요,수,10
신입,경력,10
졸업,후,10
입사,차,10
가요,직,10
개발자,정도,10
사이드,프로젝트,10
신입,직장,10
직,시,10
프리랜서,vs,10
프론트엔드,관련,10
퇴사,직,10
프론트엔드,프로젝트,10
산업기능,기능요원,10
